n_imp,fullname,des,v_inf,ps_max,ip,range,ts_max,diameter,h,last_obs_jd,ps_cum,id,last_obs
14,(2024 XC17),2024 XC17,4.13550554125936,-8.48,2.705071e-07,2070-2122,0,0.012,27.32,2460657.5,-8.02,bK24X17C,2024-12-13
24,(2008 CM74),2008 CM74,4.07487636213547,-8.06,2.444599e-06,2069-2115,0,0.0083,28.05,2454511.5,-7.42,bK08C74M,2008-02-15
44,(2008 JL3),2008 JL3,8.41901237821941,-2.69,0.0001658147615,2027-2122,0,0.029,25.31,2454595.5,-2.68,bK08J03L,2008-05-09
1,(2008 JQ),2008 JQ,7.56,-7.74,6.549e-08,2101-2101,0,0.027,25.49,2454601.5,-7.74,bK08J00Q,2008-05-15
11,(2009 HW67),2009 HW67,22.6244092987469,-6.08,2.833285e-06,2046-2079,0,0.02,26.09,2454952.5,-5.69,bK09H67W,2009-05-01
38,(2020 HN),2020 HN,3.44028641670312,-6.64,3.1802824e-05,2055-2123,0,0.0064,28.61,2458961.5,-6.35,bK20H00N,2020-04-22
2,(2023 TH),2023 TH,8.15,-8.16,1.4502e-07,2108-2108,0,0.014,26.85,2460243.5,-8.07,bK23T00H,2023-10-26
8,(2020 HW7),2020 HW7,8.74446278863597,-6.79,1.561136e-06,2044-2121,0,0.012,27.20,2458969.5,-6.71,bK20H07W,2020-04-30
91,(2006 GU2),2006 GU2,7.30957092814698,-7.20,1.97315926e-05,2073-2121,0,0.00949,27.77,2453834.5,-6.33,bK06G02U,2006-04-09
124,(2022 GA2),2022 GA2,7.88267720824247,-6.50,0.0001399012027,2049-2116,0,0.0045,29.37,2459675.5,-6.01,bK22G02A,2022-04-06
2,(2017 GM),2017 GM,16.1853186227887,-9.82,5.257e-08,2080-2121,0,0.0036,29.89,2457847.5,-9.64,bK17G00M,2017-04-04
11,(2017 JB2),2017 JB2,2.92410366980033,-8.65,3.39964e-06,2099-2122,0,0.00517,29.09,2457902.5,-7.93,bK17J02B,2017-05-29
11,(2020 VV6),2020 VV6,13.3935158247781,-7.55,1.486024e-06,2060-2122,0,0.0071,28.39,2459172.5,-7.41,bK20V06V,2020-11-19
20,(2021 GR),2021 GR,7.05363043004965,-7.51,6.61412e-06,2077-2121,0,0.0079,28.17,2459318.5,-7.02,bK21G00R,2021-04-14
2,(2002 AN129),2002 AN129,11.4856520567631,-7.50,1.1134e-07,2064-2111,0,0.021,26.04,2452289.5,-7.43,bK02AC9N,2002-01-15
17,(2022 CA1),2022 CA1,3.78033905840398,-6.54,2.25433492e-05,2055-2122,0,0.012,27.28,2459645.5,-6.16,bK22C01A,2022-03-07
