des,diameter,fullname,h,id,ip,last_obs,last_obs_jd,n_imp,ps_cum,ps_max,range,ts_max,v_inf
2008 VM,0.0032,(2008 VM),30.16,bK08V00M,3.610e-05,2008-11-03,2454773.5,1,-6.05,-6.05,2031-2031,0,10.28
2004 FM4,0.042,(2004 FM4),24.55,bK04F04M,2.29213e-08,2004-03-31,2453095.5,3,-7.60,-7.85,2110-2119,0,14.8161227330038
2005 TA,0.012,(2005 TA),27.23,bK05T00A,2.743022e-05,2005-10-05,2453648.5,80,-6.08,-6.68,2082-2121,0,4.81158767702191
2018 BP3,0.006,(2018 BP3),28.75,bK18B03P,6.7715e-07,2018-01-28,2458146.5,2,-8.36,-8.43,2099-2115,0,6.92121612641217
2018 EV3,0.013,(2018 EV3),27.12,bK18E03V,4.96608258e-05,2018-03-13,2458190.5,13,-5.58,-5.64,2081-2121,0,12.5815005174964
2019 PG,0.026,(2019 PG),25.59,bK19P00G,2.102936e-06,2019-08-25,2458720.5,5,-6.34,-6.53,2101-2119,0,7.20835709693495
2015 BP513,0.015,(2015 BP513),26.76,bK15Bp3P,8.364e-09,2015-01-29,2457051.5,1,-9.16,-9.16,2088-2088,0,7.49
2015 BW516,0.0099,(2015 BW516),27.66,bK15Bp6W,6.26790848e-05,2015-01-28,2457050.5,6,-5.32,-5.62,2052-2114,0,11.4862687408607
2018 XX3,0.0039,(2018 XX3),29.68,bK18X03X,1.21796e-06,2018-12-25,2458477.5,3,-8.52,-8.63,2088-2118,0,4.41
2020 XK1,0.0026,(2020 XK1),30.58,bK20X01K,1.290591e-05,2020-12-08,2459191.5,41,-7.89,-8.50,2070-2121,0,5.83202609502159
2019 MT2,0.0176,(2019 MT2),26.43,bK19M02T,5.036176e-06,2019-07-07,2458671.5,13,-6.21,-6.63,2079-2121,0,11.3649753662303
2012 LJ,0.026,(2012 LJ),25.61,bK12L00J,2.5383e-06,2012-06-10,2456088.5,2,-5.67,-5.67,2069-2072,0,18.6811196470078
2012 SU9,0.012,(2012 SU9),27.22,bK12S09U,1.54697e-06,2012-09-24,2456194.5,4,-7.13,-7.37,2100-2119,0,10.8557467177773
2017 JG3,0.025,(2017 JG3),25.65,bK17J03G,1.611e-07,2017-05-21,2457894.5,1,-7.28,-7.28,2084-2084,0,8.71
2010 XX,0.012,(2010 XX),27.18,bK10X00X,8.106e-08,2010-12-10,2455540.5,1,-8.42,-8.42,2100-2100,0,8.64
2007 FP3,0.007,(2007 FP3),28.42,bK07F03P,2.1284891e-06,2007-03-21,2454180.5,27,-7.51,-7.97,2059-2122,0,9.65003545284775
2011 BU59,0.02,(2011 BU59),26.14,bK11B59U,3.318462e-06,2011-02-07,2455599.5,20,-6.27,-6.61,2089-2122,0,11.3161338927491
2011 EC,0.026,(2011 EC),25.58,bK11E00C,7.858e-08,2011-03-06,2455626.5,1,-7.26,-7.26,2051-2051,0,6.83
2016 EO28,0.0051,(2016 EO28),29.12,bK16E28O,0.00059737306,2016-03-16,2457463.5,35,-4.68,-4.70,2035-2065,0,6.98175899612882
2011 AZ22,0.00635,(2011 AZ22),28.64,bK11A22Z,9.2426e-07,2011-01-11,2455572.5,4,-7.22,-7.27,2034-2095,0,12.5005208491117
2015 YJ,0.0075,(2015 YJ),28.28,bK15Y00J,0.0016384715592,2015-12-19,2457375.5,119,-4.05,-4.28,2042-2122,0,16.34731253167
2016 BQ15,0.032,(2016 BQ15),25.14,bK16B15Q,3.627e-08,2016-02-07,2457425.5,1,-7.21,-7.21,2072-2072,0,21.02
2016 FA14,0.011,(2016 FA14),27.35,bK16F14A,1.041072e-07,2016-04-05,2457483.5,5,-8.02,-8.21,2072-2094,0,15.2045797024605
